Date;PM10;month;Year;Season
2013/01/01;;January;2013;Summer
2013/01/01;;January;2013;Summer
2013/01/01;;January;2013;Summer
2013/01/01;;January;2013;Summer
2013/01/01;;January;2013;Summer
2013/01/01;;January;2013;Summer
2013/01/01;;January;2013;Summer
2013/01/01;;January;2013;Summer
2013/01/01;;January;2013;Summer
2013/01/01;;January;2013;Summer
2013/01/01;;January;2013;Summer
2013/01/01;;January;2013;Summer
2013/01/01;;January;2013;Summer
2013/01/01;;January;2013;Summer
2013/01/01;;January;2013;Summer
2013/01/01;;January;2013;Summer
2013/01/01;;January;2013;Summer
2013/01/01;;January;2013;Summer
2013/01/01;;January;2013;Summer
2013/01/01;;January;2013;Summer
2013/01/01;;January;2013;Summer
2013/01/01;;January;2013;Summer
2013/01/01;;January;2013;Summer
2013/01/01;;January;2013;Summer
2013/01/02;;January;2013;Summer
2013/01/02;;January;2013;Summer
2013/01/02;;January;2013;Summer
2013/01/02;;January;2013;Summer
2013/01/02;;January;2013;Summer
2013/01/02;;January;2013;Summer
2013/01/02;;January;2013;Summer
2013/01/02;;January;2013;Summer
2013/01/02;;January;2013;Summer
2013/01/02;;January;2013;Summer
2013/01/02;;January;2013;Summer
2013/01/02;;January;2013;Summer
2013/01/02;;January;2013;Summer
2013/01/02;;January;2013;Summer
2013/01/02;;January;2013;Summer
2013/01/02;;January;2013;Summer
2013/01/02;;January;2013;Summer
2013/01/02;;January;2013;Summer
2013/01/02;;January;2013;Summer
2013/01/02;;January;2013;Summer
2013/01/02;;January;2013;Summer
2013/01/02;;January;2013;Summer
2013/01/02;;January;2013;Summer
2013/01/02;;January;2013;Summer
2013/01/03;;January;2013;Summer
2013/01/03;;January;2013;Summer
2013/01/03;;January;2013;Summer
2013/01/03;;January;2013;Summer
2013/01/03;;January;2013;Summer
2013/01/03;;January;2013;Summer
2013/01/03;;January;2013;Summer
2013/01/03;;January;2013;Summer
2013/01/03;;January;2013;Summer
2013/01/03;;January;2013;Summer
2013/01/03;;January;2013;Summer
2013/01/03;;January;2013;Summer
2013/01/03;;January;2013;Summer
2013/01/03;;January;2013;Summer
2013/01/03;;January;2013;Summer
2013/01/03;;January;2013;Summer
2013/01/03;;January;2013;Summer
2013/01/03;;January;2013;Summer
2013/01/03;;January;2013;Summer
2013/01/03;;January;2013;Summer
2013/01/03;;January;2013;Summer
2013/01/03;;January;2013;Summer
2013/01/03;;January;2013;Summer
2013/01/03;;January;2013;Summer
2013/01/04;;January;2013;Summer
2013/01/04;;January;2013;Summer
2013/01/04;;January;2013;Summer
2013/01/04;;January;2013;Summer
2013/01/04;;January;2013;Summer
2013/01/04;;January;2013;Summer
2013/01/04;;January;2013;Summer
2013/01/04;;January;2013;Summer
2013/01/04;;January;2013;Summer
2013/01/04;;January;2013;Summer
2013/01/04;;January;2013;Summer
2013/01/04;;January;2013;Summer
2013/01/04;;January;2013;Summer
2013/01/04;;January;2013;Summer
2013/01/04;;January;2013;Summer
2013/01/04;;January;2013;Summer
2013/01/04;;January;2013;Summer
2013/01/04;;January;2013;Summer
2013/01/04;;January;2013;Summer
2013/01/04;;January;2013;Summer
2013/01/04;;January;2013;Summer
2013/01/04;;January;2013;Summer
2013/01/04;;January;2013;Summer
2013/01/04;;January;2013;Summer
2013/01/05;;January;2013;Summer
2013/01/05;;January;2013;Summer
2013/01/05;;January;2013;Summer
2013/01/05;;January;2013;Summer
2013/01/05;;January;2013;Summer
2013/01/05;;January;2013;Summer
2013/01/05;;January;2013;Summer
2013/01/05;;January;2013;Summer
2013/01/05;;January;2013;Summer
2013/01/05;;January;2013;Summer
2013/01/05;;January;2013;Summer
2013/01/05;;January;2013;Summer
2013/01/05;;January;2013;Summer
2013/01/05;;January;2013;Summer
2013/01/05;;January;2013;Summer
2013/01/05;;January;2013;Summer
2013/01/05;;January;2013;Summer
2013/01/05;;January;2013;Summer
2013/01/05;;January;2013;Summer
2013/01/05;;January;2013;Summer
2013/01/05;;January;2013;Summer
2013/01/05;;January;2013;Summer
